word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos,normalized_word,normalized_pos,crf_source_row,beacco_source_row
cinquième,NOUN,B1,beacco,1.9237,2.3919,0.0,0.0,1.9237,4.7828,0.0,6.4938,2.3919,0.0,4.572,0.4665,12.6911,0.0,12.833,5.2508,B1,word_pos,cinquième,N,cinquième,NOM,cinquième,NOUN,3051,2420.0
écoattitude,NOUN,B1,crf_first_attested,1.9237,0.1771,0.0,0.0,1.9237,0.0,0.0,0.0,0.1771,,,,,,,,,crf_only,écoattitude,N,,,écoattitude,NOUN,17416,
écovillage,NOUN,B1,crf_first_attested,1.9237,0.1771,0.0,0.0,1.9237,0.0,0.0,0.0,0.1771,,,,,,,,,crf_only,écovillage,N,,,écovillage,NOUN,17457,
grimper,VERB,B1,beacco,1.9018,16.6264,1.7078,22.7565,1.9018,37.6319,13.8696,0.0,16.6264,1.1764,20.4215,3.5522,16.4574,20.6179,0.0,14.0995,B1,word_pos,grimper,V,grimper,VER,grimper,VERB,7587,5922.0
à moitié,ADV,B1,crf_first_attested,1.8898,2.7801,0.0,0.0,1.8898,22.3071,0.0,0.0,2.7801,,,,,,,,,crf_only,à moitié,ADV,,,à moitié,ADV,17277,
d' emblée,ADV,B1,crf_first_attested,1.8898,0.7681,0.0,0.0,1.8898,1.5139,0.0,0.0,0.7681,,,,,,,,,crf_only,d' emblée,ADV,,,d' emblée,ADV,4364,
derrière,ADV,B1,beacco,1.8842,1.6274,2.0342,0.0,1.8842,1.3414,0.0,0.0,1.6274,7.3752,4.8826,7.18,3.5867,3.4423,0.0,9.0958,B1,word_pos,derrière,ADV,derrière,ADV,derrière,ADV,4600,3627.0
on,NOUN,B1,crf_first_attested,1.8842,1.4966,0.0,0.0,1.8842,0.0,8.021,0.0,1.4966,,,,,,,,,crf_only,on,N,,,on,NOUN,11254,
y,NOUN,B1,crf_first_attested,1.8842,0.3393,0.0,0.0,1.8842,0.0,0.0,0.0,0.3393,,,,,,,,,crf_only,y,N,,,y,NOUN,17105,
nature,ADJ,B1,crf_first_attested,1.8838,4.8045,0.0,0.0,1.8838,1.7264,13.8696,62.2019,4.8045,,,,,,,,,crf_only,nature,A,,,nature,ADJ,10825,
agréer,VERB,B1,beacco,1.8838,4.1598,0.0,4.1845,1.8838,8.4175,0.0,12.9876,4.1598,0.0,8.6516,3.5957,14.4824,0.0,12.833,8.1286,B1,word_pos,agréer,V,agréer,VER,agréer,VERB,361,319.0
laïc,ADJ,B1,crf_first_attested,1.8838,0.3578,0.0,0.0,1.8838,0.0,0.0,0.0,0.3578,,,,,,,,,crf_only,laïc,A,,,laïc,ADJ,9343,
