word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
directive,NOUN,C1,beacco,18.4544,0.3249,0.0,0.0,0.0,0.0,18.4544,0.0,0.3249,0.0,0.0,0.0,0.0,8.2781,0.0,0.1951,C1,word_pos,directive,N,directive,NOM
faute de quoi,ADV,C1,crf_first_attested,18.4508,0.6247,0.0,0.0,0.0,0.0,18.4508,0.0,0.6247,,,,,,,,,crf_only,faute de quoi,ADV,,
ironiser,VERB,C1,beacco,16.8923,0.5546,0.0,0.0,0.0,0.0,16.8923,0.0,0.5546,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,ironiser,V,ironiser,VER
aliénation,NOUN,C1,beacco,16.4039,1.3009,0.0,0.0,0.0,0.0,16.4039,6.4938,1.3009,0.0,0.0,0.0,0.0,8.2781,12.833,0.2926,C1,word_pos,aliénation,N,aliénation,NOM
ambiant,ADJ,C1,beacco,16.4039,0.2888,0.0,0.0,0.0,0.0,16.4039,0.0,0.2888,0.0,0.0,0.0,0.0,8.2781,0.0,0.1951,C1,word_pos,ambiant,A,ambiant,ADJ
antimondialisation,ADJ,C1,crf_first_attested,16.4039,0.2888,0.0,0.0,0.0,0.0,16.4039,0.0,0.2888,,,,,,,,,crf_only,antimondialisation,A,,
pessimisme,NOUN,C1,beacco,16.4039,0.2888,0.0,0.0,0.0,0.0,16.4039,0.0,0.2888,0.0,0.0,0.0,0.0,8.2781,0.0,0.1951,C1,word_pos,pessimisme,N,pessimisme,NOM
surpêche,NOUN,C1,crf_first_attested,16.4039,0.2888,0.0,0.0,0.0,0.0,16.4039,0.0,0.2888,,,,,,,,,crf_only,surpêche,N,,
exploraseur,NOUN,C1,crf_first_attested,16.042,0.3325,0.0,0.0,0.0,0.0,16.042,0.0,0.3325,,,,,,,,,crf_only,exploraseur,N,,
destructeur,NOUN,C1,beacco,15.7275,0.5666,0.0,0.0,0.0,0.0,15.7275,0.0,0.5666,0.0,0.0,0.0,0.0,4.139,0.0,0.0975,C1,word_pos,destructeur,N,destructeur,NOM
de surcroît,ADV,C1,crf_first_attested,15.6669,0.5672,0.0,0.0,0.0,0.0,15.6669,0.0,0.5672,,,,,,,,,crf_only,de surcroît,ADV,,
transpercer,VERB,C1,beacco,15.5058,0.9712,0.0,0.3228,0.0,0.0,15.5058,0.0,0.9712,0.0,0.186,0.0,0.0,6.0005,0.0,0.3399,C1,word_pos,transpercer,V,transpercer,VER
argile,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,argile,N,argile,NOM
auréoler,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,auréoler,V,auréoler,VER
authentification,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,authentification,N,authentification,NOM
autorisé,ADJ,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,autorisé,A,,
charpentier,ADJ,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,charpentier,A,,
chis,NOUN,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,chis,N,,
couleuvre,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,couleuvre,N,couleuvre,NOM
craquelé,ADJ,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,craquelé,A,,
dans le cas de,PREP,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,dans le cas de,PREP,,
de proche en proche,ADV,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,de proche en proche,ADV,,
debout là - bas,ADV,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,debout là - bas,ADV,,
divinatoire,ADJ,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,divinatoire,A,divinatoire,ADJ
décharné,ADJ,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,décharné,A,décharné,ADJ
